DATE,RV,GAS_PRICE_IND,OIL_PRICE
2005-01-01,0.77,63.96,83.24
2005-02-01,0.76,63.96,83.62
2005-03-01,0.67,58.02,86.15
2005-04-01,0.64,58.02,90.89
2005-05-01,0.67,60.75,90.3
2005-06-01,0.66,59.75,90.83
2005-07-01,0.64,61.67,96.08
2005-08-01,0.63,61.67,98.16
2005-09-01,0.6,61.67,102.3
2005-10-01,0.6,61.67,103.56
2005-11-01,0.65,65.19,100.7
2005-12-01,0.66,65.19,99.4
2006-01-01,0.69,69.76,100.93
2006-02-01,0.69,69.76,101.83
2006-03-01,0.68,69.76,102.17
2006-04-01,0.66,69.76,105.24
2006-05-01,0.66,69.76,106.38
2006-06-01,0.65,69.76,106.76
2006-07-01,0.69,75.57,108.98
2006-08-01,0.69,75.57,109.87
2006-09-01,0.78,82.68,106.38
2006-10-01,0.82,82.68,100.38
2006-11-01,0.78,76.69,98.3
2006-12-01,0.78,76.69,98.47
2007-01-01,0.76,73.6,97.08
2007-02-01,0.76,73.6,97.25
2007-03-01,0.71,71.55,100.31
2007-04-01,0.69,71.55,103.96
2007-05-01,0.7,74.89,107.27
2007-06-01,0.69,74.89,108.09
2007-07-01,0.68,74.89,109.95
2007-08-01,0.68,74.89,109.85
2007-09-01,0.74,83.24,112.46
2007-10-01,0.72,83.24,115.2
2007-11-01,0.7,85.65,122.21
2007-12-01,0.67,85.65,127.47
2008-01-01,0.65,83.24,128.93
2008-02-01,0.64,83.24,129.37
2008-03-01,0.62,83.24,133.6
2008-04-01,0.59,83.24,141.35
2008-05-01,0.53,83.24,155.7
2008-06-01,0.49,83.24,169.09
2008-07-01,0.48,83.24,173.66
2008-08-01,0.51,83.24,163.44
2008-09-01,0.53,83.24,158.03
2008-10-01,0.57,83.24,146.95
2008-11-01,0.7,86.52,123.5
2008-12-01,0.81,89.36,110.87
2009-01-01,0.81,88.12,108.25
2009-02-01,0.78,88.12,112.74
2009-03-01,0.77,88.12,114.0
2009-04-01,0.77,89.36,116.29
2009-05-01,0.78,89.36,114.22
2009-06-01,0.73,90.34,122.97
2009-07-01,0.77,96.46,125.52
2009-08-01,0.74,96.46,131.19
2009-09-01,0.74,96.46,129.6
2009-10-01,0.77,96.46,126.06
2009-11-01,0.73,96.46,131.97
2009-12-01,0.73,96.46,132.41
2010-01-01,0.73,98.43,134.87
2010-02-01,0.75,98.43,131.36
2010-03-01,0.72,98.43,136.73
2010-04-01,0.7,98.43,140.34
2010-05-01,0.71,98.43,139.13
2010-06-01,0.72,98.43,136.68
2010-07-01,0.73,98.43,135.03
2010-08-01,0.72,98.43,136.34
2010-09-01,0.76,102.41,134.65
2010-10-01,0.74,102.41,138.88
2010-11-01,0.68,96.84,143.15
2010-12-01,0.63,96.84,153.5
2011-01-01,0.64,102.22,160.24
2011-02-01,0.62,102.22,164.03
2011-03-01,0.57,102.22,179.88
2011-04-01,0.55,102.22,184.78
2011-05-01,0.6,108.22,179.36
2011-06-01,0.62,108.22,174.18
2011-07-01,0.62,108.22,175.92
2011-08-01,0.62,108.22,173.9
2011-09-01,0.61,108.22,178.29
2011-10-01,0.64,114.52,179.36
2011-11-01,0.64,114.52,177.85
2011-12-01,0.64,114.52,179.35
2012-01-01,0.62,114.52,185.95
2012-02-01,0.6,114.52,191.89
2012-03-01,0.58,114.52,198.14
2012-04-01,0.58,114.52,198.45
2012-05-01,0.61,114.52,186.35
2012-06-01,0.67,114.52,171.1
2012-07-01,0.67,114.52,171.44
2012-08-01,0.63,114.52,182.28
2012-09-01,0.61,114.52,188.12
2012-10-01,0.63,114.52,183.09
2012-11-01,0.65,114.52,176.76
2012-12-01,0.66,114.52,174.34
2013-01-01,0.66,114.52,174.1
2013-02-01,0.63,115.87,183.64
2013-03-01,0.68,119.94,176.45
2013-04-01,0.71,119.94,169.75
2013-05-01,0.72,119.94,166.99
2013-06-01,0.71,119.94,169.56
2013-07-01,0.69,119.94,174.47
2013-08-01,0.69,119.94,174.29
2013-09-01,0.7,120.95,173.6
2013-10-01,0.72,120.95,167.88
2013-11-01,0.72,120.95,168.31
2013-12-01,0.7,120.95,172.01
2014-01-01,0.76,128.61,169.17
2014-02-01,0.76,128.61,170.14
2014-03-01,0.76,128.61,169.62
2014-04-01,0.78,128.61,165.79
2014-05-01,0.78,128.61,164.01
2014-06-01,0.79,128.61,136.09
2014-07-01,0.78,127.19,162.33
2014-08-01,0.82,128.19,155.94
2014-09-01,0.84,129.19,151.74
2014-10-01,0.89,130.19,142.28
2014-11-01,0.94,131.19,134.87
2014-12-01,1.11,132.19,114.31
2015-01-01,1.27,119.11,94.13
2015-02-01,1.19,119.11,100.36
2015-03-01,0.99,104.62,105.83
2015-04-01,1.01,104.62,103.84
2015-05-01,0.82,91.79,111.89
2015-06-01,0.81,91.79,113.11
2015-07-01,0.87,91.79,106.01
2015-08-01,0.94,91.79,98.07
2015-09-01,1.01,96.34,95.3
2015-10-01,1.02,96.34,94.17
2015-11-01,1.05,96.34,91.71
2015-12-01,1.13,96.34,85.5
2016-01-01,1.15,86.54,75.08
2016-02-01,1.2,86.54,72.07
2016-03-01,1.0,77.11,77.2
2016-04-01,0.97,77.11,79.31
2016-05-01,0.83,70.93,85.79
2016-06-01,0.79,70.93,90.35
2016-07-01,0.81,70.93,87.54
2016-08-01,0.86,70.93,82.75
2016-09-01,0.84,70.93,84.17
2016-10-01,0.78,70.93,90.68
2016-11-01,0.83,76.09,91.62
2016-12-01,0.77,76.09,99.17
2017-01-01,0.72,76.09,106.13
2017-02-01,0.76,76.09,103.73
2017-03-01,0.79,78.88,99.84
2017-04-01,0.78,78.88,100.66
2017-05-01,0.86,82.89,96.17
2017-06-01,0.91,82.89,91.36
2017-07-01,0.89,82.89,93.03
2017-08-01,0.86,82.89,96.72
2017-09-01,0.81,82.89,102.15
2017-10-01,0.79,82.89,104.61
2017-11-01,0.67,73.95,109.78
2017-12-01,0.66,73.95,111.3
2018-01-01,0.65,73.95,113.2
2018-02-01,0.66,73.95,111.85
2018-03-01,0.67,73.95,110.61
2018-04-01,0.64,73.95,114.73
2018-05-01,0.62,76.41,122.9
2018-06-01,0.62,76.41,123.0
2018-07-01,0.63,80.13,127.34
2018-08-01,0.63,80.13,127.81
2018-09-01,0.6,80.13,133.3
2018-10-01,0.59,80.13,136.55
2018-11-01,0.66,80.13,121.36
2018-12-01,0.74,80.13,108.48
2019-01-01,0.77,80.13,103.66
2019-02-01,0.74,80.13,108.21
2019-03-01,0.69,80.13,115.77
2019-04-01,0.66,80.13,120.99
2019-05-01,0.65,80.13,123.45
2019-06-01,0.7,80.13,115.01
2019-07-01,0.73,84.7,116.15
2019-08-01,0.73,84.7,115.29
2019-09-01,0.73,84.7,115.88
2019-10-01,0.73,84.7,116.43
2019-11-01,0.72,84.7,117.19
2019-12-01,0.71,84.7,120.12
2020-01-01,0.71,84.7,119.47
2020-02-01,0.77,84.7,110.13
2020-03-01,0.98,84.7,86.64
2020-04-01,1.33,84.7,63.83
2020-05-01,1.33,84.7,63.69
2020-06-01,1.07,84.7,78.99
2020-07-01,0.85,70.98,83.16
2020-08-01,0.86,72.93,84.71
2020-09-01,0.8,65.24,81.26
2020-10-01,0.76,59.16,78.13
2020-11-01,0.75,58.72,78.64
2020-12-01,0.72,63.87,88.53
