DATE,QVA
2007-11-01,86695.46666666667
2007-12-01,86944.63333333333
2008-01-01,87193.8
2008-02-01,87450.56666666667
2008-03-01,87707.33333333334
2008-04-01,87964.1
2008-05-01,88135.33333333334
2008-06-01,88306.56666666667
2008-07-01,88477.8
2008-08-01,85926.36666666667
2008-09-01,83374.93333333333
2008-10-01,80823.5
2008-11-01,80163.63333333333
2008-12-01,79503.76666666666
2009-01-01,78843.9
2009-02-01,79568.96666666666
2009-03-01,80294.03333333334
2009-04-01,81019.1
2009-05-01,83345.43333333333
2009-06-01,85671.76666666668
2009-07-01,87998.1
2009-08-01,88183.76666666668
2009-09-01,88369.43333333333
2009-10-01,88555.1
2009-11-01,89235.83333333334
2009-12-01,89916.56666666667
2010-01-01,90597.3
2010-02-01,92104.76666666666
2010-03-01,93612.23333333334
2010-04-01,95119.7
2010-05-01,95831.2
2010-06-01,96542.7
2010-07-01,97254.2
2010-08-01,97926.83333333333
2010-09-01,98599.46666666667
2010-10-01,99272.1
2010-11-01,99763.46666666667
2010-12-01,100254.83333333333
2011-01-01,100746.2
2011-02-01,100564.53333333333
2011-03-01,100382.86666666667
2011-04-01,100201.2
2011-05-01,100370.16666666667
2011-06-01,100539.13333333333
2011-07-01,100708.1
2011-08-01,100680.8
2011-09-01,100653.5
2011-10-01,100626.2
2011-11-01,100860.5
2011-12-01,101094.8
2012-01-01,101329.1
2012-02-01,101489.96666666667
2012-03-01,101650.83333333333
2012-04-01,101811.7
2012-05-01,102019.63333333333
2012-06-01,102227.56666666667
2012-07-01,102435.5
2012-08-01,102418.23333333334
2012-09-01,102400.96666666666
2012-10-01,102383.7
2012-11-01,102870.83333333333
2012-12-01,103357.96666666667
2013-01-01,103845.1
2013-02-01,104165.36666666667
2013-03-01,104485.63333333333
2013-04-01,104805.9
2013-05-01,105060.66666666666
2013-06-01,105315.43333333333
2013-07-01,105570.2
2013-08-01,105804.09999999999
2013-09-01,106038.0
2013-10-01,106271.9
2013-11-01,106883.86666666667
2013-12-01,107495.83333333333
2014-01-01,108107.8
2014-02-01,108541.7
2014-03-01,108975.6
2014-04-01,109409.5
2014-05-01,109014.33333333333
2014-06-01,108619.16666666667
2014-07-01,108224.0
2014-08-01,108186.76666666666
2014-09-01,108149.53333333334
2014-10-01,108112.3
2014-11-01,108506.13333333333
2014-12-01,108899.96666666667
2015-01-01,109293.8
2015-02-01,109506.6
2015-03-01,109719.4
2015-04-01,109932.2
2015-05-01,110228.0
2015-06-01,110523.8
2015-07-01,110819.6
2015-08-01,110909.06666666667
2015-09-01,110998.53333333334
2015-10-01,111088.0
2015-11-01,111139.4
2015-12-01,111190.8
2016-01-01,111242.2
2016-02-01,112007.93333333333
2016-03-01,112773.66666666666
2016-04-01,113539.4
2016-05-01,113150.26666666666
2016-06-01,112761.13333333333
2016-07-01,112372.0
2016-08-01,112961.53333333334
2016-09-01,113551.06666666667
2016-10-01,114140.6
2016-11-01,114883.90000000001
2016-12-01,115627.2
2017-01-01,116370.5
2017-02-01,116356.16666666667
2017-03-01,116341.83333333333
2017-04-01,116327.5
2017-05-01,117192.7
2017-06-01,118057.90000000001
2017-07-01,118923.1
2017-08-01,118098.5
2017-09-01,117273.90000000001
2017-10-01,116449.3
2017-11-01,117025.6
2017-12-01,117601.9
2018-01-01,118178.2
2018-02-01,118831.63333333333
2018-03-01,119485.06666666667
2018-04-01,120138.5
2018-05-01,117542.0
2018-06-01,114945.5
2018-07-01,112349.0
2018-08-01,115854.13333333333
2018-09-01,119359.26666666666
2018-10-01,122864.4
2018-11-01,121829.86666666667
2018-12-01,120795.33333333333
2019-01-01,119760.8
2019-02-01,120172.93333333333
2019-03-01,120585.06666666667
2019-04-01,120997.2
2019-05-01,121753.66666666667
2019-06-01,122510.13333333333
2019-07-01,123266.6
2019-08-01,123814.43333333333
2019-09-01,124362.26666666668
2019-10-01,124910.1
2019-11-01,124623.06666666667
2019-12-01,124336.03333333334
2020-01-01,124049.0
2020-02-01,120417.43333333333
2020-03-01,116785.86666666667
2020-04-01,113154.3
2020-05-01,116018.7
2020-06-01,118883.1
2020-07-01,121747.5
2020-08-01,122745.13333333333
2020-09-01,123742.76666666666
2020-10-01,124740.4
2020-11-01,124740.4
2020-12-01,124740.4
